label,count,best_reference_label,best_similarity_score,assigned_category,assigned_at_0_70,assigned_at_0_75,assigned_at_0_80
line type,123,cell line type,0.782608695652174,Biospecimen Type,True,True,False
biologics,120,biological sex,0.782608695652174,Biospecimen Sex,True,True,False
application,120,publication id,0.72,External_sample_id,True,False,False
infectivity,120,infection type,0.72,Biospecimen Disease Condition,True,False,False
country,120,control,0.7142857142857143,Treatment,True,False,False
line number,117,sample number,0.75,External_sample_id,True,True,False
culture media,116,culture days,0.8,Biospecimen Age,True,True,True
array batch,116,array barcode,0.75,External_sample_id,True,True,False
immune status,113,mouse status,0.8,Biospecimen Organism,True,True,True
isolation source,113,isolation stage,0.7741935483870968,Biospecimen Age,True,True,False
Histology,107,histopathology,0.782608695652174,Biospecimen Disease Condition,True,True,False
growth media,106,growth time,0.782608695652174,Biospecimen Age,True,True,False
clinical phenotype,103,cell phenotype,0.8125,Biospecimen Type,True,True,True
target,102,stage,0.7272727272727273,Biospecimen Age,True,False,False
infected,101,time infected,0.7619047619047619,Biospecimen Age,True,True,False
Exposures,101,exposure time,0.7272727272727273,Biospecimen Age,True,False,False
pain,101,patient,0.7272727272727273,External_sample_id,True,False,False
current status,100,treatment status,0.7333333333333333,Treatment,True,False,False
viral load,100,patient viral load,0.7142857142857143,External_sample_id,True,False,False
localization,99,tumor localization,0.8,Biospecimen Disease Condition,True,True,True
case_phenotype,97,cell phenotype,0.7857142857142857,Biospecimen Type,True,True,False
isolate type,97,disease type,0.75,Biospecimen Disease Condition,True,True,False
als phenotype,96,cell phenotype,0.8148148148148148,Biospecimen Type,True,True,True
volunteer number,96,mouse number,0.7142857142857143,Biospecimen Organism,True,False,False
animal name,95,animal age,0.8571428571428571,Biospecimen Age,True,True,True
parasite line,95,parasite strain,0.7857142857142857,Biospecimen Organism,True,True,False
vaccination boost,92,vaccination dose,0.8484848484848485,Treatment Dosage Regimen,True,True,True
sub-population,92,cell subpopulation,0.8125,Biospecimen Type,True,True,True
location of onset,92,location of tumors,0.8,Biospecimen Disease Condition,True,True,True
health status,92,cell status,0.75,Biospecimen Type,True,True,False
purification,92,duration,0.7,Treatment Dosage Regimen,True,False,False
onset,90,age_onset,0.7142857142857143,Biospecimen Age,True,False,False
Status,89,cell status,0.7058823529411765,Biospecimen Type,True,False,False
