PARENT_GARD,CHILD_GARD
GARD:0016433,GARD:0003605
GARD:0016432,GARD:0003605
GARD:0016233,GARD:0003605
GARD:0016082,GARD:0003605
GARD:0016110,GARD:0003644
GARD:0015909,GARD:0003644
GARD:0015811,GARD:0003644
GARD:0015692,GARD:0003644
GARD:0015524,GARD:0003644
GARD:0015471,GARD:0003644
GARD:0015385,GARD:0003644
GARD:0015200,GARD:0003644
GARD:0015272,GARD:0003659
GARD:0015276,GARD:0003659
GARD:0015501,GARD:0003687
GARD:0015421,GARD:0003687
GARD:0003688,GARD:0003687
GARD:0003418,GARD:0003697
GARD:0010657,GARD:0003697
GARD:0010658,GARD:0003697
GARD:0010659,GARD:0003697
GARD:0010660,GARD:0003697
GARD:0010661,GARD:0003697
GARD:0010662,GARD:0003697
GARD:0010663,GARD:0003697
GARD:0015392,GARD:0003697
GARD:0015652,GARD:0003697
GARD:0015653,GARD:0003697
GARD:0016090,GARD:0003697
GARD:0016128,GARD:0003697
GARD:0017388,GARD:0003705
GARD:0017387,GARD:0003705
GARD:0017386,GARD:0003705
GARD:0018506,GARD:0003765
GARD:0018505,GARD:0003765
GARD:0017705,GARD:0003806
GARD:0017704,GARD:0003806
GARD:0007071,GARD:0003807
GARD:0007072,GARD:0003807
GARD:0007073,GARD:0003807
GARD:0007074,GARD:0003807
GARD:0002721,GARD:0003824
GARD:0000894,GARD:0003824
GARD:0004881,GARD:0003830
GARD:0010225,GARD:0003830
GARD:0015597,GARD:0003836
GARD:0015115,GARD:0003836
GARD:0009916,GARD:0003836
GARD:0015556,GARD:0003876
GARD:0016026,GARD:0003884
GARD:0015676,GARD:0003885
GARD:0015312,GARD:0003885
GARD:0015201,GARD:0003908
GARD:0015283,GARD:0003908
GARD:0015284,GARD:0003908
GARD:0016312,GARD:0003908
GARD:0016313,GARD:0003908
GARD:0016314,GARD:0003908
GARD:0016315,GARD:0003908
GARD:0016316,GARD:0003908
GARD:0016317,GARD:0003908
GARD:0016318,GARD:0003908
GARD:0016319,GARD:0003908
GARD:0016320,GARD:0003908
GARD:0016321,GARD:0003908
GARD:0016322,GARD:0003908
GARD:0016323,GARD:0003908
GARD:0016324,GARD:0003908
GARD:0016325,GARD:0003908
GARD:0016326,GARD:0003908
GARD:0016327,GARD:0003908
GARD:0016328,GARD:0003908
GARD:0016329,GARD:0003908
GARD:0016330,GARD:0003908
GARD:0016331,GARD:0003908
