Gene,Disease,disease_name
stat4,ORPHA:93552,Orphanet: Pediatric systemic lupus erythematosus
tuba1a,ORPHA:467166,Orphanet: Tubulinopathy-associated dysgyria
txnrd2,ORPHA:154,Orphanet: Familial isolated dilated cardiomyopathy
nfe2l2,ORPHA:619979,Orphanet: Developmental delay-immunodeficiency-leukoencephalopathy-hypohomocysteinemia syndrome
trpv6,ORPHA:417,Orphanet: Neonatal severe primary hyperparathyroidism
sumo1,ORPHA:99798,Orphanet: Oligodontia
acat1,ORPHA:134,Orphanet: Beta-ketothiolase deficiency
cbfb,ORPHA:98829,Orphanet: Acute myeloid leukemia with abnormal bone marrow eosinophils inv(16)(p13q22) or t(16;16)(p13;q22)
tnfsf11,ORPHA:667,Orphanet: Autosomal recessive malignant osteopetrosis
tdp2,ORPHA:404493,Orphanet: Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to TUD deficiency
sos1,ORPHA:648,Orphanet: Noonan syndrome
shh,ORPHA:485275,Orphanet: Acquired schizencephaly
pola1,ORPHA:163976,"Orphanet: X-linked intellectual disability, Van Esch type"
pold1,ORPHA:447877,Orphanet: Polymerase proofreading-related adenomatous polyposis
cyp27a1,ORPHA:909,Orphanet: Cerebrotendinous xanthomatosis
ins,ORPHA:552,Orphanet: MODY
hspd1,ORPHA:100994,Orphanet: Autosomal dominant spastic paraplegia type 13
mt-nd6,ORPHA:99718,Orphanet: Leber plus disease
ndufs8,ORPHA:2609,Orphanet: Isolated complex I deficiency
mt-nd4l,ORPHA:104,Orphanet: Leber hereditary optic neuropathy
mt-nd1,ORPHA:255210,Orphanet: Mitochondrial DNA-associated Leigh syndrome
ndufa2,ORPHA:85136,Orphanet: Cystic leukoencephalopathy without megalencephaly
ndufa13,ORPHA:146,Orphanet: Differentiated thyroid carcinoma
tars1,ORPHA:33364,Orphanet: Trichothiodystrophy
c1s,ORPHA:169147,Orphanet: Immunodeficiency due to a classical component pathway complement deficiency
rb1,ORPHA:357027,Orphanet: Hereditary retinoblastoma
tmprss15,ORPHA:168601,Orphanet: Congenital enteropathy due to enteropeptidase deficiency
pde6d,ORPHA:475,Orphanet: Joubert syndrome
ednrb,ORPHA:895,Orphanet: Waardenburg syndrome type 2
stat2,ORPHA:431166,Orphanet: Primary immunodeficiency with post-measles-mumps-rubella vaccine viral infection
hars1,ORPHA:231183,Orphanet: Usher syndrome type 3
tyk2,ORPHA:331226,Orphanet: Susceptibility to infection due to TYK2 deficiency
snca,ORPHA:1648,Orphanet: NON RARE IN EUROPE: Dementia with Lewy body
pak3,ORPHA:777,Orphanet: X-linked non-syndromic intellectual disability
pak2,ORPHA:1571,Orphanet: Knobloch syndrome
abhd5,ORPHA:98907,Orphanet: Neutral lipid storage disease with ichthyosis
hk1,ORPHA:90031,Orphanet: Non-spherocytic hemolytic anemia due to hexokinase deficiency
nt5e,ORPHA:289601,Orphanet: Hereditary arterial and articular multiple calcification syndrome
mdm2,ORPHA:524,Orphanet: Li-Fraumeni syndrome
plcg2,ORPHA:324530,Orphanet: Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation
f7,ORPHA:327,Orphanet: Congenital factor VII deficiency
malt1,ORPHA:397964,Orphanet: Combined immunodeficiency due to MALT1 deficiency
ppp1cb,ORPHA:2701,Orphanet: Noonan syndrome-like disorder with loose anagen hair
polh,ORPHA:90342,Orphanet: Xeroderma pigmentosum variant
pot1,ORPHA:251630,Orphanet: Anaplastic oligodendroglioma
xrcc4,ORPHA:436182,Orphanet: Microcephalic primordial dwarfism-insulin resistance syndrome
