Gene,Disease,disease_name
tbxas1,ORPHA:1802,Orphanet: Ghosal hematodiaphyseal dysplasia
clcn2,ORPHA:404,Orphanet: Familial hyperaldosteronism type II
ung,ORPHA:101092,Orphanet: Hyper-IgM syndrome type 5
prmt7,ORPHA:464288,Orphanet: Short stature-brachydactyly-obesity-global developmental delay syndrome
phkg1,ORPHA:715,Orphanet: Glycogen storage disease due to muscle phosphorylase kinase deficiency
tp53rk,ORPHA:2065,Orphanet: Galloway-Mowat syndrome
tgm6,ORPHA:319465,Orphanet: Inherited acute myeloid leukemia
rbpj,ORPHA:974,Orphanet: Adams-Oliver syndrome
sox17,ORPHA:289365,Orphanet: Familial vesicoureteral reflux
hadh,ORPHA:71212,Orphanet: Hyperinsulinism due to short chain 3-hydroxylacyl-CoA dehydrogenase deficiency
hadha,ORPHA:5,Orphanet: Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
dcxr,ORPHA:2843,Orphanet: Pentosuria
idua,ORPHA:93476,Orphanet: Hurler-Scheie syndrome
fga,ORPHA:93562,Orphanet: AFib amyloidosis
gsn,ORPHA:85448,Orphanet: AGel amyloidosis
pik3c2a,ORPHA:557003,Orphanet: Oculoskeletodental syndrome
aldh1a3,ORPHA:35612,Orphanet: Nanophthalmos
hla-dqa1,ORPHA:555,Orphanet: NON RARE IN EUROPE: Celiac disease
pax8,ORPHA:95712,Orphanet: Thyroid ectopia
uba1,ORPHA:1145,Orphanet: Infantile-onset X-linked spinal muscular atrophy
tek,ORPHA:2451,Orphanet: Mucocutaneous venous malformations
fan1,ORPHA:401996,Orphanet: Karyomegalic interstitial nephritis
clp1,ORPHA:411493,Orphanet: Pontocerebellar hypoplasia type 10
psenen,ORPHA:79145,Orphanet: Dowling-Degos disease
cisd2,ORPHA:3463,Orphanet: Wolfram syndrome
trhr,ORPHA:99832,Orphanet: Resistance to thyrotropin-releasing hormone syndrome
gcgr,ORPHA:438274,Orphanet: GCGR-related hyperglucagonemia
havcr2,ORPHA:86884,Orphanet: Subcutaneous panniculitis-like T-cell lymphoma
ptprf,ORPHA:180188,Orphanet: Isolated congenital breast hypoplasia/aplasia
qdpr,ORPHA:226,Orphanet: Dihydropteridine reductase deficiency
pthlh,ORPHA:93387,Orphanet: Brachydactyly type E
phkb,ORPHA:79240,Orphanet: Glycogen storage disease due to liver and muscle phosphorylase kinase deficiency
dguok,ORPHA:279934,"Orphanet: Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency"
ctns,ORPHA:411634,Orphanet: Juvenile nephropathic cystinosis
ugt1a1,ORPHA:79235,Orphanet: Crigler-Najjar syndrome type 2
dnm1l,ORPHA:98673,"Orphanet: Autosomal dominant optic atrophy, classic form"
serpina6,ORPHA:199247,Orphanet: Corticosteroid-binding globulin deficiency
tnk2,ORPHA:391316,Orphanet: Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression
dnajb6,ORPHA:34516,Orphanet: DNAJB6-related limb-girdle muscular dystrophy D1
thra,ORPHA:566231,Orphanet: Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha
fars2,ORPHA:319519,Orphanet: Combined oxidative phosphorylation defect type 14
usp8,ORPHA:96253,Orphanet: Cushing disease
traf6,ORPHA:1810,Orphanet: Autosomal dominant hypohidrotic ectodermal dysplasia
ddost,ORPHA:300536,Orphanet: DDOST-CDG
kcnj13,ORPHA:91496,Orphanet: Snowflake vitreoretinal degeneration
kif11,ORPHA:2526,Orphanet: Microcephaly-lymphedema-chorioretinopathy syndrome
glb1,ORPHA:79257,Orphanet: GM1 gangliosidosis type 3
slc37a4,ORPHA:79259,Orphanet: Glycogen storage disease due to glucose-6-phosphatase deficiency type Ib
cib1,ORPHA:302,Orphanet: Epidermodysplasia verruciformis
dgat2,ORPHA:487814,Orphanet: Autosomal dominant Charcot-Marie-Tooth disease type 2 due to DGAT2 mutation
larp7,ORPHA:319671,Orphanet: Alazami syndrome
nr4a3,ORPHA:209916,Orphanet: Extraskeletal myxoid chondrosarcoma
papss2,ORPHA:448242,Orphanet: Autosomal recessive brachyolmia
polr3a,ORPHA:447896,Orphanet: Tremor-ataxia-central hypomyelination syndrome
mars1,ORPHA:440427,Orphanet: Severe early-onset pulmonary alveolar proteinosis due to MARS deficiency
ppm1b,ORPHA:163693,Orphanet: 2p21 microdeletion syndrome
hal,ORPHA:2157,Orphanet: Histidinemia
plg,ORPHA:722,Orphanet: Hypoplasminogenemia
stambp,ORPHA:294016,Orphanet: Microcephaly-capillary malformation syndrome
fam20c,ORPHA:1832,Orphanet: Osteosclerotic bone dysplasia
abcb6,ORPHA:98938,Orphanet: Colobomatous microphthalmia
otc,ORPHA:664,Orphanet: Ornithine transcarbamylase deficiency
tbxa2r,ORPHA:220443,Orphanet: Bleeding diathesis due to thromboxane synthesis deficiency
galc,ORPHA:206436,Orphanet: Infantile Krabbe disease
cyp19a1,ORPHA:178345,Orphanet: Aromatase excess syndrome
fpr1,ORPHA:447740,Orphanet: Susceptibility to localized juvenile periodontitis
tll1,ORPHA:99103,"Orphanet: Atrial septal defect, ostium secundum type"
hibch,ORPHA:88639,Orphanet: Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency
kif1a,ORPHA:970,Orphanet: Hereditary sensory and autonomic neuropathy type 2
htra2,ORPHA:505208,Orphanet: 3-methylglutaconic aciduria type 8
grm1,ORPHA:631095,Orphanet: Spinocerebellar ataxia type 44
myh7,ORPHA:324604,Orphanet: Classic multiminicore myopathy
myh7b,ORPHA:54260,Orphanet: Left ventricular noncompaction
kynu,ORPHA:79155,Orphanet: Hydroxykynureninuria
atp4a,ORPHA:464756,Orphanet: Familial gastric type 1 neuroendocrine tumor
prf1,ORPHA:540,Orphanet: Familial hemophagocytic lymphohistiocytosis
arsb,ORPHA:276223,"Orphanet: Mucopolysaccharidosis type 6, slowly progressing"
tpk1,ORPHA:293955,Orphanet: Childhood encephalopathy due to thiamine pyrophosphokinase deficiency
lars2,ORPHA:528091,Orphanet: Hydrops-lactic acidosis-sideroblastic anemia-multisystemic failure syndrome
cd3g,ORPHA:169082,Orphanet: Combined immunodeficiency due to CD3gamma deficiency
trpm6,ORPHA:30924,Orphanet: Primary hypomagnesemia with secondary hypocalcemia
brcc3,ORPHA:280679,Orphanet: Moyamoya angiopathy-short stature-facial dysmorphism-hypergonadotropic hypogonadism syndrome
ddx3x,ORPHA:457260,Orphanet: X-linked intellectual disability-hypotonia-movement disorder syndrome
pcna,ORPHA:438134,Orphanet: PCNA-related progressive neurodegenerative photosensitivity syndrome
asah1,ORPHA:2590,Orphanet: Spinal muscular atrophy-progressive myoclonic epilepsy syndrome
khk,ORPHA:2056,Orphanet: Essential fructosuria
tat,ORPHA:28378,Orphanet: Tyrosinemia type 2
eln,ORPHA:90348,Orphanet: Autosomal dominant cutis laxa
abcb4,ORPHA:79305,Orphanet: Progressive familial intrahepatic cholestasis type 3
taf1,ORPHA:53351,Orphanet: X-linked dystonia-parkinsonism
lrat,ORPHA:364055,Orphanet: Severe early-childhood-onset retinal dystrophy
fbp1,ORPHA:348,"Orphanet: Fructose-1,6-bisphosphatase deficiency"
hlcs,ORPHA:79242,Orphanet: Holocarboxylase synthetase deficiency
pcyt1a,ORPHA:85167,Orphanet: Spondylometaphyseal dysplasia-cone-rod dystrophy syndrome
adcy10,ORPHA:2197,Orphanet: Idiopathic hypercalciuria
col4a1,ORPHA:477749,Orphanet: Pontine autosomal dominant microangiopathy with leukoencephalopathy
col5a1,ORPHA:287,Orphanet: Classical Ehlers-Danlos syndrome
col6a1,ORPHA:646098,Orphanet: Collagen VI-related congenital muscular dystrophy
col11a1,ORPHA:560,Orphanet: Marshall syndrome
col27a1,ORPHA:438117,Orphanet: Steel syndrome
col4a2,ORPHA:99810,Orphanet: Familial porencephaly
col11a2,ORPHA:166100,Orphanet: Autosomal dominant otospondylomegaepiphyseal dysplasia
col4a5,ORPHA:88917,Orphanet: X-linked Alport syndrome
col4a6,ORPHA:1018,Orphanet: X-linked Alport syndrome-diffuse leiomyomatosis
pdyn,ORPHA:101108,Orphanet: Spinocerebellar ataxia type 23
prdm6,ORPHA:466729,Orphanet: Familial patent arterial duct
prrx1,ORPHA:990,Orphanet: Agnathia-holoprosencephaly-situs inversus syndrome
cog7,ORPHA:79333,Orphanet: COG7-CDG
slc2a3,ORPHA:399,Orphanet: Huntington disease
six1,ORPHA:107,Orphanet: BOR syndrome
sms,ORPHA:3063,"Orphanet: X-linked intellectual disability, Snyder type"
igf2,ORPHA:2128,Orphanet: Isolated hemihyperplasia
cul4b,ORPHA:85293,"Orphanet: X-linked intellectual disability, Cabezas type"
cnot2,ORPHA:289513,Orphanet: 12q15q21.1 microdeletion syndrome
chd4,ORPHA:653712,Orphanet: CHD4-related neurodevelopmental disorder
prps1,ORPHA:1187,Orphanet: Lethal ataxia with deafness and optic atrophy
slc2a9,ORPHA:94088,Orphanet: Hereditary renal hypouricemia
polr1a,ORPHA:1200,Orphanet: Burn-McKeown syndrome
fn1,ORPHA:93315,"Orphanet: Spondylometaphyseal dysplasia, 'corner fracture' type"
acsf3,ORPHA:289504,Orphanet: Combined malonic and methylmalonic acidemia
plaa,ORPHA:521426,Orphanet: PLAA-associated neurodevelopmental disorder
smpd1,ORPHA:77292,Orphanet: Infantile neurovisceral acid sphingomyelinase deficiency
dll3,ORPHA:2311,Orphanet: Autosomal recessive spondylocostal dysostosis
fto,ORPHA:210144,"Orphanet: Lethal polymalformative syndrome, Boissel type"
fcgr3b,ORPHA:464370,Orphanet: Neonatal alloimmune neutropenia
tyrp1,ORPHA:79433,Orphanet: Oculocutaneous albinism type 3
gpx4,ORPHA:93317,"Orphanet: Spondylometaphyseal dysplasia, Sedaghatian type"
muc1,ORPHA:88949,Orphanet: MUC1-related autosomal dominant tubulointerstitial kidney disease
dnm2,ORPHA:100044,Orphanet: Autosomal dominant intermediate Charcot-Marie-Tooth disease type B
cyp51a1,ORPHA:521432,Orphanet: Congenital cataract-severe neonatal hepatopathy-global developmental delay syndrome
g6pd,ORPHA:466026,Orphanet: Class I glucose-6-phosphate dehydrogenase deficiency
dhfr,ORPHA:319651,Orphanet: Constitutional megaloblastic anemia with severe neurologic disease
gp6,ORPHA:98885,Orphanet: Bleeding diathesis due to glycoprotein VI deficiency
fzd5,ORPHA:98942,Orphanet: Coloboma of choroid and retina
kif4a,OMIM:313490,"Taurodontism, microdontia, and dens invaginatus, 313490 (3)"
epha10,OMIM:620283,"?Deafness, autosomal dominant 88, 620283 (3)"
slc14a1,OMIM:111000,"[Blood group, Kidd], 111000 (3)"
gabrb1,OMIM:617153,"Developmental and epileptic encephalopathy 45, 617153 (3)"
mos,OMIM:620383,"Oocyte/zygote/embryo maturation arrest 20, 620383 (3)"
hnrnph2,OMIM:300986,"Intellectual developmental disorder, X-linked syndromic, Bain type, 300986 (3)"
prkch,OMIM:601367,"{Cerebral infarction, susceptibility to}, 601367 (3)"
dclre1b,OMIM:620133,"Dyskeratosis congenita, autosomal recessive 8, 620133 (3)"
pik3cg,OMIM:619802,"Immunodeficiency 97 with autoinflammation, 619802 (3)"
lgr4,OMIM:619613,"Delayed puberty, self-limited, 619613 (3)"
loxl3,OMIM:619781,"Myopia 28, autosomal recessive, 619781 (3)"
itpr3,OMIM:222100,"{Diabetes mellitus, insulin-dependent}, 222100 (3)"
gab1,OMIM:605428,"?Deafness, autosomal recessive 26, 605428 (3)"
cdk8,OMIM:618748,"Intellectual developmental disorder with hypotonia and behavioral abnormalities, 618748 (3)"
psmg2,OMIM:619183,"?Proteasome-associated autoinflammatory syndrome 4, 619183 (3)"
casp14,OMIM:617320,"Ichthyosis, congenital, autosomal recessive 12, 617320 (3)"
dio1,OMIM:619855,"Thyroid hormone metabolism, abnormal, 2, 619855 (3)"
adrb1,OMIM:618591,"[Short sleep, familial natural, 2], 618591 (3)"
adrb3,OMIM:601665,"Obesity, mild, early-onset, 601665 (3)"
tph2,OMIM:613003,"{?Attention deficit-hyperactivity disorder, susceptibility to, 7}, 613003 (3)"
cog3,OMIM:620546,"Congenital disorder of glycosylation, type IIbb, 620546 (3)"
brpf1,OMIM:617333,"Intellectual developmental disorder with dysmorphic facies and ptosis, 617333 (3)"
pou3f3,OMIM:618604,"Snijders Blok-Fisher syndrome, 618604 (3)"
mmp3,OMIM:614466,"{Coronary heart disease, susceptibility to, 6}, 614466 (3)"
irs1,OMIM:125853,"Diabetes mellitus, noninsulin-dependent, 125853 (3)"
tlk2,OMIM:618050,"Intellectual developmental disorder, autosomal dominant 57, 618050 (3)"
ptprj,OMIM:114500,"Colon cancer, advanced, somatic, 114500 (3)"
olr1,OMIM:608446,"{Myocardial infarction, decreased susceptibility to}, 608446 (3)"
tlr2,OMIM:607948,"{Mycobacterium tuberculosis, protection against}, 607948 (3)"
slc13a3,OMIM:618384,"Leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate, 618384 (3)"
padi6,OMIM:617234,"Oocyte/zygote/embryo maturation arrest 16, 617234 (3)"
acvr1b,OMIM:260350,"Pancreatic cancer, somatic 260350 (3)"
acaca,OMIM:613933,"Acetyl-CoA carboxylase deficiency, 613933 (3)"
nat2,OMIM:243400,"[Acetylation, slow], 243400 (3)"
irf3,OMIM:616532,"{Encephalopathy, acute, infection-induced (herpes-specific), susceptibility to, 7}, 616532 (3)"
hsd17b13,OMIM:620116,"{Fatty liver disease, protection from}, 620116 (3)"
acat2,OMIM:614055,"?ACAT2 deficiency, 614055 (1)"
acsl5,OMIM:620357,"?Diarrhea 13, 620357 (3)"
aimp2,OMIM:618006,"Leukodystrophy, hypomyelinating, 17, 618006 (3)"
tuba4a,OMIM:616208,"Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia, 616208 (3)"
mast1,OMIM:618273,"Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations, 618273 (3)"
axl,OMIM:146110,"Hypogonadotropic hypogonadism 7 without anosmia, 146110 (3)"
prim1,OMIM:620005,"Primordial dwarfism-immunodeficiency-lipodystrophy syndrome, 620005 (3)"
chek1,OMIM:620610,"Oocyte/zygote/embryo maturation arrest 21, 620610 (3)"
ndufa10,OMIM:618243,"Mitochondrial complex I deficiency, nuclear type 22, 618243 (3)"
ndufa4,OMIM:619065,"?Mitochondrial complex IV deficiency, nuclear type 21, 619065 (3)"
ndufb7,OMIM:620135,"?Mitochondrial complex I deficiency, nuclear type 39, 620135 (3)"
ndufa8,OMIM:619272,"Mitochondrial complex I deficiency, nuclear type 37, 619272 (3)"
ndufb8,OMIM:618252,"Mitochondrial complex I deficiency, nuclear type 32, 618252 (3)"
ndufc2,OMIM:619170,"Mitochondrial complex I deficiency, nuclear type 36, 619170 (3)"
ndufa9,OMIM:618247,"Mitochondrial complex I deficiency, nuclear type 26, 618247 (3)"
ndufa12,OMIM:618244,"Mitochondrial complex I deficiency, nuclear type 23, 618244 (3)"
pak1,OMIM:618158,"Intellectual developmental disorder with macrocephaly, seizures, and speech delay, 618158 (3)"
nudt15,OMIM:616903,"{Thiopurines, poor metabolism of, 2}, 616903 (3)"
psmb1,OMIM:620038,"?Neurodevelopmental disorder with microcephaly, hypotonia, and absent language, 620038 (3)"
adcy3,OMIM:617885,"{Obesity, susceptibility to, BMIQ19}, 617885 (3)"
chrna3,OMIM:612052,"{Lung cancer susceptibility 2}, 612052 (3)"
prkag3,OMIM:619030,"[Skeletal muscle glycogen content and metabolism QTL], 619030 (3)"
ppil1,OMIM:619301,"Pontocerebellar hypoplasia, type 14, 619301 (3)"
tpmt,OMIM:610460,"{Thiopurines, poor metabolism of, 1}, 610460 (3)"
p4htm,OMIM:618493,"Hypotonia, hypoventilation, impaired intellectual development, dysautonomia, epilepsy, and eye abnormalities, 618493 (3)"
pgr,OMIM:264080,"?Progesterone resistance, 264080 (2)"
dtymk,OMIM:619847,"Neurodegeneration, childhood-onset, with progressive microcephaly, 619847 (3)"
adprs,OMIM:618170,"Neurodegeneration, childhood-onset, stress-induced, with variable ataxia and seizures, 618170 (3)"
abcg2,OMIM:138900,"[Uric acid concentration, serum, QTL1], 138900 (3)"
hdac9,OMIM:620457,"?Auriculocondylar syndrome 4, 620457 (3)"
irak3,OMIM:611064,"{Asthma susceptibility 5}, 611064 (3)"
bsg,OMIM:111380,"[Blood group, OK], 111380 (3)"
bach2,OMIM:618394,"Immunodeficiency 60 and autoimmunity, 618394 (3)"
zbtb7a,OMIM:619769,"Macrocephaly, neurodevelopmental delay, lymphoid hyperplasia, and persistent fetal hemoglobin, 619769 (3)"
aopep,OMIM:619565,"Dystonia 31, 619565 (3)"
ptpa,OMIM:620482,"Parkinson disease 25, autosomal recessive early-onset, with impaired intellectual development, 620482 (3)"
kcna4,OMIM:618284,"Microcephaly, cataracts, impaired intellectual development, and dystonia with abnormal striatum, 618284 (3)"
mdm4,OMIM:618849,"?Bone marrow failure syndrome 6, 618849 (3)"
kcnk18,OMIM:613656,"{Migraine, with or without aura, susceptibility to, 13}, 613656 (3)"
rpa1,OMIM:619767,"Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 6, 619767 (3)"
elovl1,OMIM:618527,"Ichthyotic keratoderma, spasticity, hypomyelination, and dysmorphic facies, 618527 (3)"
ptgdr,OMIM:607277,"{Asthma, susceptibility to, 1}, 607277 (3)"
ddb1,OMIM:619426,"White-Kernohan syndrome, 619426 (3)"
adra2a,OMIM:620679,"?Lipodystrophy, familial partial, type 8, 620679 (3)"
casp2,OMIM:620653,"Intellectual developmental disorder, autosomal recessive 80, with variant lissencephaly, 620653 (3)"
ubap2l,OMIM:620494,"Neurodevelopmental disorder with impaired language, behavioral abnormalities, and dysmorphic facies, 620494 (3)"
hnrnpc,OMIM:620688,"Intellectual developmental disorder, autosomal dominant 74, 620688 (3)"
hkdc1,OMIM:619614,"Retinitis pigmentosa 92, 619614 (3)"
scd5,OMIM:619086,"?Deafness, autosomal dominant 79, 619086 (3)"
ccr2,OMIM:609423,"{AIDS, delayed/rapid progression to}, 609423 (3)"
gria2,OMIM:618917,"Neurodevelopmental disorder with language impairment and behavioral abnormalities, 618917 (3)"
gckr,OMIM:613463,"[Fasting plasma glucose level QTL 5], 613463 (3)"
htr2a,OMIM:181500,"Schizophrenia, 181500 (2)"
abo,OMIM:616093,"[Blood group, ABO system], 616093 (3)"
sgms2,OMIM:126550,"Calvarial doughnut lesions with bone fragility with or without spondylometaphyseal dysplasia, 126550 (3)"
drd4,OMIM:143465,"{Attention deficit-hyperactivity disorder, susceptibility to}, 143465 (3)"
kif3b,OMIM:618955,"Retinitis pigmentosa 89, 618955 (3)"
ltv1,OMIM:620199,"Inflammatory poikiloderma with hair abnormalities and acral keratoses, 620199 (3)"
slc19a1,OMIM:601775,"?Megaloblastic anemia, folate-responsive, 601775 (3)"
tas2r38,OMIM:171200,"[Phenylthiocarbamide tasting], 171200 (3)"
slc22a4,OMIM:180300,"{Rheumatoid arthritis, progression of}, 180300 (3)"
glra2,OMIM:301076,"Intellectual developmental disorder, X-linked syndromic, Pilorge type, 301076 (3)"
plaat3,OMIM:620683,"Lipodystrophy, familial partial, type 9, 620683 (3)"
epx,OMIM:261500,"[Eosinophil peroxidase deficiency], 261500 (3)"
plcg1,OMIM:620514,"?Immune dysregulation, autoimmunity, and autoinflammation, 620514 (3)"
slc51a,OMIM:619484,"?Cholestasis, progressive familial intrahepatic, 6, 619484 (3)"
tlr1,OMIM:613223,"{Leprosy, protection against}, 613223 (3)"
camk2g,OMIM:618522,"Intellectual developmental disorder, autosomal dominant 59, 618522 (3)"
ccr5,OMIM:612522,"{Diabetes mellitus, insulin-dependent, 22}, 612522 (3)"
adh1b,OMIM:103780,"{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against}, 103780 (3)"
dnase2,OMIM:619858,"Autoinflammatory-pancytopenia syndrome, 619858 (3)"
nae1,OMIM:620210,"Neurodevelopmental disorder with dysmorphic facies and ischiopubic hypoplasia, 620210 (3)"
prkg2,OMIM:619636,"Acromesomelic dysplasia 4, 619636 (3)"
sort1,OMIM:613589,"[Low density lipoprotein cholesterol level QTL6], 613589 (3)"
rorb,OMIM:618357,"{Epilepsy, idiopathic generalized, susceptibility to, 15}, 618357 (3)"
ffar4,OMIM:607514,"{Obesity, susceptibility to}, 607514 (3)"
mbtps1,OMIM:618392,"?Spondyloepiphyseal dysplasia, Kondo-Fu type, 618392 (3)"
dync1i2,OMIM:618492,"Neurodevelopmental disorder with microcephaly and structural brain anomalies, 618492 (3)"
tlr5,OMIM:601744,"{Systemic lupus erythematosus, resistance to}, 601744 (3)"
arhgef1,OMIM:618459,"?Immunodeficiency 62, 618459 (3)"
kmt5b,OMIM:617788,"Intellectual developmental disorder, autosomal dominant 51, 617788 (3)"
drg1,OMIM:620641,"Tan-Almurshedi syndrome, 620641 (3)"
aldh2,OMIM:610251,"Alcohol sensitivity, acute, 610251 (3)"
hck,OMIM:620296,"Autoinflammation with pulmonary and cutaneous vasculitis, 620296 (3)"
ccl11,OMIM:600807,"{Asthma, diminished response to antileukotriene treatment in}, 600807 (3)"
shmt2,OMIM:619121,"Neurodevelopmental disorder with cardiomyopathy, spasticity, and brain abnormalities, 619121 (3)"
mast3,OMIM:620115,"Developmental and epileptic encephalopathy 108, 620115 (3)"
adgrg6,OMIM:616503,"Lethal congenital contracture syndrome 9, 616503 (3)"
calcr,OMIM:166710,"{Bone mineral density variation QTL, osteoporosis}, 166710 (3)"
pla2g7,OMIM:614278,"Platelet-activating factor acetylhydrolase deficiency, 614278 (3)"
vamp2,OMIM:618760,"Neurodevelopmental disorder with hypotonia and autistic features with or without hyperkinetic movements, 618760 (3)"
fcgr2a,OMIM:611162,"{Malaria, cerebral, reduced risk of}, 611162 (3)"
mthfd1,OMIM:601634,"{Neural tube defects, folate-sensitive, susceptibility to}, 601634 (3)"
bet1,OMIM:254100,"Muscular dystrophy, congenital, with rapid progression 254100 (3)"
spin4,OMIM:301114,"?Lui-Jee-Baron syndrome, 301114 (3)"
pi4k2a,OMIM:620732,"Neurodevelopmental disorder with hyperkinetic movements, seizures and structural brain abnormalities, 620732 (3)"
pi4kb,OMIM:620281,"Deafness, autosomal dominant 87, 620281 (3)"
ogt,OMIM:300997,"Intellectual developmental disorder, X-linked 106, 300997 (3)"
galnt2,OMIM:618885,"Congenital disorder of glycosylation, type IIt, 618885 (3)"
psmb9,OMIM:617591,"?Proteasome-associated autoinflammatory syndrome 3 and digenic forms, 617591 (3)"
psmb10,OMIM:619175,"Proteasome-associated autoinflammatory syndrome 5, 619175 (3)"
psmc1,OMIM:620071,"?Birk-Aharoni syndrome, 620071 (3)"
psmc3,OMIM:619354,"?Deafness, cataract, impaired intellectual development, and polyneuropathy, 619354 (3)"
arl2,OMIM:619082,"?Microcornea, rod-cone dystrophy, cataract, and posterior staphyloma 1, 619082 (3)"
prdx1,OMIM:277400,"Methylmalonic aciduria and homocystinuria, cblC type, 277400 (3)"
sik3,OMIM:618162,"?Spondyloepimetaphyseal dysplasia, Krakow type, 618162 (3)"
prdx3,OMIM:619871,"Corneal dystrophy, punctiform and polychromatic pre-Descemet, 619871 (3)"
bcat2,OMIM:618850,"?Hypervalinemia or hyperleucine-isoleucinemia, 618850 (3)"
arpc5,OMIM:620565,"Immunodeficiency 133 with autoimmunity and autoinflammation, 620565 (3)"
rps23,OMIM:617412,"Brachycephaly, trichomegaly, and developmental delay, 617412 (3)"
rpl13,OMIM:618728,"Spondyloepimetaphyseal dysplasia, Isidor-Toutain type, 618728 (3)"
ache,OMIM:112100,"[Blood group, Yt system], 112100 (3)"
ces1,OMIM:618057,"Drug metabolism, altered, CES1-related, 618057 (3)"
cyp3a4,OMIM:619073,"Vitamin D-dependent rickets, type 3, 619073 (3)"
cyp3a5,OMIM:145500,"Hypertension, essential, 145500 (3)"
cyp2c9,OMIM:122700,"Coumarin resistance, 122700 (3)"
cyp2c19,OMIM:609535,"Clopidogrel, impaired responsiveness to, 609535 (3)"
cyp2c8,OMIM:618018,"{Drug metabolism, altered, CYP2C8-related}, 618018 (3)"
cyp2d6,OMIM:608902,"{Codeine sensitivity}, 608902 (3)"
cyp2b6,OMIM:614546,"Efavirenz, poor metabolism of, 614546 (3)"
aqp1,OMIM:110450,"[Aquaporin-1 deficiency], 110450 (3)"
adh1c,OMIM:168600,"{Parkinson disease, late-onset, susceptibility to}, 168600 (3)"
cacna2d2,OMIM:618501,"Cerebellar atrophy with seizures and variable developmental delay, 618501 (3)"
npr3,OMIM:619543,"Boudin-Mortier syndrome, 619543 (3)"
hyou1,OMIM:233600,"?Immunodeficiency 59 and hypoglycemia, 233600 (3)"
kcnh5,OMIM:620537,"Developmental and epileptic encephalopathy 112, 620537 (3)"
kcnc2,OMIM:619913,"Developmental and epileptic encephalopathy 103, 619913 (3)"
il1b,OMIM:613659,"Gastric cancer, somatic, 613659 (3)"
mb,OMIM:620286,"Myopathy, sarcoplasmic body, 620286 (3)"
slc6a4,OMIM:607834,"{Anxiety-related personality traits}, 607834 (3)"
spop,OMIM:618829,"Nabais Sa-de Vries syndrome, type 2, 618829 (3)"
kcnmb1,OMIM:608622,"{Hypertension, diastolic, resistance to}, 608622 (3)"
cdk10,OMIM:617694,"Al Kaissi syndrome, 617694 (3)"
nudt2,OMIM:619844,"Intellectual developmental disorder with or without peripheral neuropathy, 619844 (3)"
xbp1,OMIM:612371,"{Major affective disorder-7, susceptibility to}, 612371 (3)"
mst1r,OMIM:617075,"{Nasopharyngeal carcinoma, susceptibility to, 3}, 617075 (3)"
sqor,OMIM:619221,"Sulfide:quinone oxidoreductase deficiency, 619221 (3)"
gpr156,OMIM:620551,"Deafness, autosomal recessive 121, 620551 (3)"
fbxo11,OMIM:618089,"Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities, 618089 (3)"
eif2ak1,OMIM:618878,"?Leukoencephalopathy, motor delay, spasticity, and dysarthria syndrome, 618878 (3)"
mstn,OMIM:614160,"?Muscle hypertrophy, 614160 (3)"
npsr1,OMIM:608584,"{Asthma, susceptibility to, 2}, 608584 (3)"
syk,OMIM:619381,"Immunodeficiency 82 with systemic inflammation, 619381 (3)"
lta,OMIM:610988,"{Leprosy, susceptibility to, 4}, 610988 (3)"
ifnar1,OMIM:619935,"Immunodeficiency 106, susceptibility to viral infections, 619935 (3)"
ephx2,OMIM:143890,"Hypercholesterolemia, familial, 1, 143890 (3)"
mrpl12,OMIM:618951,"?Combined oxidative phosphorylation deficiency 45, 618951 (3)"
kcnn2,OMIM:619725,"Neurodevelopmental disorder with or without variable movement or behavioral abnormalities, 619725 (3)"
cacna1e,OMIM:618285,"Developmental and epileptic encephalopathy 69, 618285 (3)"
cdy1,OMIM:415000,"Spermatogenic failure, Y-linked, 2, 415000 (3)"
ptger2,OMIM:208550,"Asthma and nasal polyps, 208550 (3)"
fut3,OMIM:618983,"[Blood group, Lewis], 618983 (3)"
slc12a1,OMIM:601678,"Bartter syndrome, type 1, 601678 (3)"
lyn,OMIM:620376,"Autoinflammatory disease, systemic, with vasculitis, 620376 (3)"
tubb2a,OMIM:615763,"Cortical dysplasia, complex, with other brain malformations 5, 615763 (3)"
tubb6,OMIM:617732,"?Facial palsy, congenital, with ptosis and velopharyngeal dysfunction, 617732 (3)"
fkbp5,OMIM:608516,"Major depressive disorder 1, 608516 (2)"
tnnc2,OMIM:620161,"Congenital myopathy 15, 620161 (3)"
il1r1,OMIM:259680,"?Chronic recurrent multifocal osteomyelitis 3, 259680 (3)"
gdf15,OMIM:620730,"{Hyperemesis gravidarum, susceptibility to}, 620730 (3)"
tasp1,OMIM:618950,"Suleiman-El-Hattab syndrome, 618950 (3)"
mapkapk5,OMIM:619869,"Neurocardiofaciodigital syndrome, 619869 (3)"
