Enrichment FDR,nGenes,Pathway Genes,Fold Enrichment,Pathway,URL,Genes
6.12E-15,29,961,6.836412153,GO:0010562 positive regulation of phosphorus metabolic process , http://amigo.geneontology.org/amigo/term/GO:0010562, TEK  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  ABL1  PIK3CG  CCND1  BRAF  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CAPN2  CDK5  SYK  GRM5  PTAFR  MMP9  TAOK3  CSNK1D  TBK1  TTK
6.12E-15,29,961,6.836412153,GO:0045937 positive regulation of phosphate metabolic process , http://amigo.geneontology.org/amigo/term/GO:0045937, TEK  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  ABL1  PIK3CG  CCND1  BRAF  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CAPN2  CDK5  SYK  GRM5  PTAFR  MMP9  TAOK3  CSNK1D  TBK1  TTK
6.36E-15,37,1718,4.879015434,GO:0044093 positive regulation of molecular function , http://amigo.geneontology.org/amigo/term/GO:0044093, TEK  GPR55  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  CFTR  FKBP1A  ABL1  LGMN  MMP9  PIK3CG  CCND1  CDK9  LCK  DRD1  SIRT1  JAK2  CDC25B  MMP8  SMO  CCNT1  CCNB1  CDK5  SYK  GRM5  PTAFR  SENP1  ABCB1  TAOK3  AURKB  TGM2  BTK  MTOR
7.08E-15,30,1052,6.46039604,GO:0008284 positive regulation of cell population proliferation , http://amigo.geneontology.org/amigo/term/GO:0008284, CDK2  ERBB2  EGFR  SYK  JAK2  INSR  CCKBR  MMP12  BTK  CALCRL  ABL1  CCND1  SMO  CCNB1  IGF1R  CCNA2  NPY5R  PTAFR  CDK1  JUN  PIK3CD  SIRT1  LGMN  MMP9  CDK4  CAPN1  CDC25B  TTK  TEK  CAPNS1
9.44E-15,30,1064,6.38753443,GO:0031401 positive regulation of protein modification process , http://amigo.geneontology.org/amigo/term/GO:0031401, CDK5R1  AURKB  FKBP1A  ABL1  PIK3CG  CCND1  TEK  RAMP1  ERBB2  EGFR  BRAF  INSR  MAPK9  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  ALK  NTRK1  MTOR  MMP9  TAOK3  CSNK1D  BRD4  TBK1  TTK
1.46E-14,15,152,22.35637051,GO:0000086 G2/M transition of mitotic cell cycle , http://amigo.geneontology.org/amigo/term/GO:0000086, CDC25B  CDK2  CDC25C  CDK1  CCNB1  ABCB1  CCND1  CDK4  CCNA2  CCNB3  TAOK3  BRD4  AURKB  AURKA  WEE1
4.02E-14,26,791,7.446470816,GO:0001934 positive regulation of protein phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0001934, CDK5R1  AURKB  ABL1  PIK3CG  CCND1  TEK  ERBB2  EGFR  BRAF  INSR  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  ALK  NTRK1  MTOR  MMP9  TAOK3  CSNK1D  TBK1  TTK
4.73E-14,27,876,6.982537637,GO:0042327 positive regulation of phosphorylation , http://amigo.geneontology.org/amigo/term/GO:0042327, TEK  IGF1R  ERBB2  EGFR  ALK  INSR  CDK5R1  NTRK1  AURKB  MTOR  ABL1  PIK3CG  CCND1  BRAF  SIRT1  JAK2  CDC25B  CCNT1  CCNB1  CDK5  SYK  GRM5  MMP9  TAOK3  CSNK1D  TBK1  TTK
7.89E-14,43,2582,3.772817909,GO:0050790 regulation of catalytic activity , http://amigo.geneontology.org/amigo/term/GO:0050790, CCND1  TEK  CCNB1  CCNH  GPR55  IGF1R  ERBB2  CCNA2  EGFR  CCNB3  CCNB2  ALK  INSR  CDK5R1  NTRK1  CAPN1  FKBP1A  SIRT1  ABL1  LGMN  PIK3CG  RPS6KA3  LCK  DRD1  BTK  JAK2  CDC25B  CCKBR  CCNT1  TAOK3  CDK4  CDK5  SYK  GRM5  PTAFR  JUN  MTOR  SENP1  MMP9  AURKB  SLC8A1  TGM2  CDC25C
2.58E-13,24,702,7.745112973,GO:0045859 regulation of protein kinase activity , http://amigo.geneontology.org/amigo/term/GO:0045859, CCND1  CCNB1  CCNH  CCNA2  CCNB3  CCNB2  CDK5R1  SIRT1  ABL1  PIK3CG  ERBB2  EGFR  INSR  JAK2  CDC25B  CCNT1  CDK5  SYK  GRM5  ALK  MTOR  TAOK3  SLC8A1  CDC25C
