shared_gene,phenotype,concurrency_phenotype,concurrency_gene,Total_concurrency
['MAP3K20'],"['Split hand', 'Distal muscle weakness', 'Bilateral sensorineural hearing impairment', 'Poor head control', 'Pelvic girdle muscle weakness', 'Proximal muscle weakness', 'Motor delay', 'Motor delay', 'Areflexia', 'Hypotonia', 'Hypotonia', 'Waddling gait', 'Rimmed vacuoles', 'Type 1 muscle fiber predominance', 'Congenital hip dislocation', 'Flexion contracture', 'Joint hypermobility', 'Mesoaxial hand polydactyly', 'Autosomal recessive inheritance', 'Autosomal recessive inheritance', 'Scoliosis', 'Scoliosis', 'Reduced tendon reflexes', 'Calf muscle hypertrophy', 'Reduced vital capacity', 'Kyphoscoliosis', 'Respiratory insufficiency due to muscle weakness', '4-5 toe syndactyly', '4-5 toe syndactyly', 'Dysphagia', 'Hyperlordosis', 'Hyperlordosis', 'Progressive muscle weakness', 'Generalized muscle weakness', 'Type 1 muscle fiber atrophy', 'Abnormality of the respiratory system', 'Muscle spasm', 'Myopathic facies', 'Easy fatigability', 'Easy fatigability', 'Aplasia/Hypoplasia of the distal phalanx of the 2nd toe', 'Abnormal skeletal morphology', 'Symphalangism of the proximal phalanx of the 2nd toe with the 2nd metatarsal', 'Congenital onset', 'Muscle fiber splitting', 'Shoulder girdle muscle weakness', 'Intercostal muscle weakness', 'Increased variability in muscle fiber diameter', 'Recurrent respiratory infections', '1-2 toe syndactyly', '1-2 toe syndactyly', 'Feeding difficulties', 'Aspiration pneumonia', 'Sleep abnormality', 'Centrally nucleated skeletal muscle fibers', 'Slowly progressive', 'Headache', 'Aplasia/Hypoplasia of the distal phalanx of the hallux', 'Ophthalmoplegia', 'Foot dorsiflexor weakness', 'Dental crowding', 'Hypoplasia of the musculature', 'Poor appetite', 'Weakness of muscles of respiration', 'Pectus excavatum', 'Nasogastric tube feeding in infancy', 'Flexion contracture of finger', 'Childhood onset', 'Mesoaxial foot polydactyly', '1-2 toe complete cutaneous syndactyly', 'Skeletal muscle atrophy', 'Hip contracture', 'Aplasia/Hypoplasia of the phalanges of the 5th toe', 'Increased endomysial connective tissue', 'Aplasia/Hypoplasia of the phalanges of the 4th toe', 'Aplasia/Hypoplasia of the phalanges of the 3rd toe', 'Abnormality of the nail', 'Long face', 'Ankle flexion contracture', 'Ankle flexion contracture', 'Knee flexion contracture', 'Respiratory failure', 'High palate', 'Polyhydramnios', 'Decreased fetal movement', 'Failure to thrive', 'Fatigue', 'Impaired mastication', 'Hoarse voice', 'Fatigable weakness of bulbar muscles', 'Micrognathia', 'Cor pulmonale', 'Elbow flexion contracture', 'Abnormal heart morphology', 'Weakness of facial musculature', 'Sensorineural hearing impairment', 'Hypercapnia', 'Hypoxemia', 'Talipes equinovarus', 'Pes cavus', 'Weight loss', 'Split foot', 'Split foot']",4,0,4
['Sensory neuron sodium channel 2'],[],0,0,0
['Myosin heavy chain IIa'],[],0,0,0
['Aspartyl protease 1'],[],0,0,0
['Cellular retinoic acid-binding protein I'],[],0,0,0
['QSCN6'],[],0,0,0
['PtdIns-3-kinase regulatory subunit'],[],0,0,0
['IL-5 receptor subunit alpha'],[],0,0,0
['Phospholipase C-beta-1'],[],0,0,0
['PSMC5'],[],0,0,0
['NSUN6'],[],0,0,0
['Galectin-2'],[],0,0,0
['MDR1'],[],0,0,0
['ER-alpha'],[],0,0,0
['Solute carrier family 25 member 3'],[],0,0,0
['Inward rectifier K(+) channel Kir3.4'],[],0,0,0
['Ly-75'],[],0,0,0
['Sodium pump subunit alpha-4'],[],0,0,0
['CD49 antigen-like family member D'],[],0,0,0
['Caspase recruitment domain-containing protein 12'],[],0,0,0
['Adenylyl cyclase 5'],[],0,0,0
['Protein-tyrosine phosphatase of regenerating liver 3'],[],0,0,0
['Glucocorticoid receptor repression factor 1'],[],0,0,0
['Myeloid/lymphoid or mixed-lineage leukemia protein 5'],[],0,0,0
"['Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2']",[],0,0,0
['COUP transcription factor 2'],[],0,0,0
['TNF-related death ligand 1'],[],0,0,0
['KPNA3'],"['Sensory ataxia', 'Motor delay', 'Seizure', 'Hyperreflexia in upper limbs', 'Lower limb muscle weakness', 'Lower limb muscle weakness', 'Hyperreflexia', 'Thin corpus callosum', 'Urinary urgency', 'Autosomal dominant inheritance', 'Cerebellar hypoplasia', 'Spinal cord lesion', 'Muscle spasm', 'Spastic gait', 'Lower limb spasticity', 'Lower limb spasticity', 'Babinski sign', 'Babinski sign', 'Ventriculomegaly', 'EMG abnormality', 'Clonus', 'Impaired vibration sensation in the lower limbs', 'Infantile onset', 'Muscle stiffness', 'Progressive spastic paraplegia', 'Attention deficit hyperactivity disorder', 'Motor axonal neuropathy', 'Lower limb hyperreflexia', 'Hypoplasia of the brainstem', 'Progressive', 'Agenesis of cerebellar vermis', 'Difficulty walking', 'Unsteady gait', 'Degeneration of the lateral corticospinal tracts', 'Delayed ability to walk', 'Delayed speech and language development', 'Ankle clonus', 'Abnormal lower-limb motor evoked potentials', 'Fatigue', 'Distal sensory impairment', 'Abnormal cerebrospinal fluid morphology', 'Pes cavus']",35,0,35
['LARS'],[],0,0,0
['Cell division cycle protein 20 homolog'],[],0,0,0
['DAPK1'],[],0,0,0
