Omics_type,Sequencing_type,Sequencing_library,Omics_type_norm,Assay_type_norm,Sequencing_library_norm,Annotation
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']","['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['OTHER', 'RNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq', 'ncRNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RIP-Seq', 'RNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RNA-Seq', 'miRNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RNA-Seq', 'miRNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RNA-Seq', 'ncRNA-Seq']","['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RNA-Seq', 'ncRNA-Seq']",total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],"['RNA-Seq', 'ssRNA-seq']",total RNA,Transcriptomics,Single cell sequencing,,
['Transcriptome or Gene expression'],[],[],Other,Other,,
['Transcriptome or Gene expression'],miRNA-Seq,other,Transcriptomics,RNA-Seq,miRNA-Seq,
['Transcriptome or Gene expression'],miRNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,miRNA-Seq,
['Transcriptome or Gene expression'],miRNA-Seq,total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],ncRNA-Seq,"['cytoplasmic RNA', 'nuclear RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],ncRNA-Seq,other,Transcriptomics,RNA-Seq,ncRNA-Seq,
['Transcriptome or Gene expression'],ncRNA-Seq,total RNA,Transcriptomics,RNA-Seq,,
['Transcriptome or Gene expression'],ssRNA-seq,polyA RNA,Transcriptomics,Single cell sequencing,,
['Transcriptome or Gene expression'],ssRNA-seq,total RNA,Transcriptomics,Single cell sequencing,,
['Transcriptome or Gene expression'],,"['cytoplasmic RNA', 'total RNA']",Transcriptomics,Other,,
['Transcriptome or Gene expression'],,"['genomic DNA', 'total RNA']",Genomics,Other,,
['Transcriptome or Gene expression'],,"['other', 'total RNA']",Transcriptomics,Other,,
['Transcriptome or Gene expression'],,"['polyA RNA', 'total RNA']",Transcriptomics,Other,,
['Transcriptome or Gene expression'],,genomic DNA,Genomics,Other,,
['Transcriptome or Gene expression'],,other,Transcriptomics,Other,,
['Transcriptome or Gene expression'],,polyA RNA,Transcriptomics,Other,,
['Transcriptome or Gene expression'],,total RNA,Transcriptomics,Other,,
['Variation'],ChIP-Seq,genomic DNA,Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
['Variation'],OTHER,"['genomic DNA', 'other']",Genomics,Other,,
['Variation'],OTHER,genomic DNA,Genomics,Other,,
['Variation'],RNA-Seq,total RNA,Transcriptomics,RNA-Seq,,
['Variation'],,"['genomic DNA', 'nuclear RNA']",Genomics,Other,,
['Variation'],,genomic DNA,Genomics,Other,,
[],ATAC-seq,genomic DNA,Epigenomics,ATAC-seq,,"indicated by ""ATAC-seq"""
[],Bisulfite-Seq,genomic DNA,Epigenomics,Bisulfite-seq,,"indicated by ""bisulfite-seq"""
[],ChIP-Seq,"['genomic DNA', 'polyA RNA']",Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],ChIP-Seq,genomic DNA,Epigenomics,ChIP-seq,,"indicated by ""ChIP-seq"""
[],DNase-Hypersensitivity,genomic DNA,Epigenomics,DNase-Hypersensitivity,,
[],Hi-C,genomic DNA,Epigenomics,Hi-C assay,,"indicated by ""Hi-c"""
[],OTHER,"['genomic DNA', 'other', 'polyA RNA']",Genomics,Other,,
[],OTHER,"['genomic DNA', 'other']",Genomics,Other,,
[],OTHER,"['genomic DNA', 'polyA RNA', 'protein']",Genomics,Other,,
[],OTHER,"['genomic DNA', 'polyA RNA']",Genomics,Other,,
[],OTHER,"['genomic DNA', 'total RNA']",Genomics,Other,,
[],OTHER,"['other', 'polyA RNA', 'protein']",Transcriptomics,RNA-Seq,,
[],OTHER,"['other', 'polyA RNA']",Transcriptomics,Other,,
[],OTHER,"['other', 'total RNA']",Transcriptomics,Other,,
[],OTHER,"['polyA RNA', 'protein']",Transcriptomics,RNA-Seq,,
[],OTHER,"['polyA RNA', 'total RNA']",Transcriptomics,Other,,
[],OTHER,"['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
[],OTHER,cytoplasmic RNA,Transcriptomics,Other,cytoplasmic RNA,
[],OTHER,genomic DNA,Genomics,Other,,
[],OTHER,nuclear RNA,Transcriptomics,Other,nuclear RNA,
[],OTHER,other,Other,Other,,
[],OTHER,polyA RNA,Transcriptomics,Other,,
[],OTHER,protein,Proteomics,Other,,
[],OTHER,total RNA,Transcriptomics,Other,,
[],RIP-Seq,"['other', 'total RNA']",Epigenomics,RNA immunoprecipitation,,
[],RIP-Seq,other,Epigenomics,RNA immunoprecipitation,,
[],RIP-Seq,polyA RNA,Epigenomics,RNA immunoprecipitation,,
[],RIP-Seq,total RNA,Epigenomics,RNA immunoprecipitation,,
[],RNA-Seq,"['cytoplasmic RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,"['genomic DNA', 'total RNA']",Genomics,RNA-Seq,,
[],RNA-Seq,"['other', 'polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,"['other', 'protein', 'total RNA']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,"['polyA RNA', 'protein']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,"['polyA RNA', 'total RNA']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,"['protein', 'total RNA']",Transcriptomics,RNA-Seq,,
[],RNA-Seq,polyA RNA,Transcriptomics,RNA-Seq,,
[],RNA-Seq,total RNA,Transcriptomics,RNA-Seq,,
[],SELEX,protein,Proteomics,SELEX,,
[],Tn-Seq,genomic DNA,Genomics,Tn-Seq,,
