Omics_type,Sequencing_type,Sequencing_library
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ChIP-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'OTHER']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'OTHER']",genomic DNA
[],"['ChIP-Seq', 'RIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ChIP-Seq', 'RIP-Seq', 'RNA-Seq']",total RNA
[],"['ChIP-Seq', 'RIP-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['ChIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['ChIP-Seq', 'RNA-Seq']",total RNA
[],"['DNase-Hypersensitivity', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['FAIRE-seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['Hi-C', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['Hi-C', 'OTHER']","['genomic DNA', 'polyA RNA']"
[],"['Hi-C', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['MNase-Seq', 'OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['MeDIP-Seq', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['OTHER', 'RIP-Seq', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['OTHER', 'RIP-Seq', 'RNA-Seq']",total RNA
[],"['OTHER', 'RIP-Seq']","['genomic DNA', 'total RNA']"
[],"['OTHER', 'RIP-Seq']",total RNA
[],"['OTHER', 'RNA-Seq', 'miRNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['OTHER', 'RNA-Seq', 'ncRNA-Seq']",total RNA
[],"['OTHER', 'RNA-Seq']","['cytoplasmic RNA', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['genomic DNA', 'nuclear RNA']"
[],"['OTHER', 'RNA-Seq']","['genomic DNA', 'other', 'polyA RNA']"
[],"['OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['genomic DNA', 'polyA RNA']"
[],"['OTHER', 'RNA-Seq']","['genomic DNA', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['nuclear RNA', 'other', 'polyA RNA']"
[],"['OTHER', 'RNA-Seq']","['other', 'polyA RNA', 'protein']"
[],"['OTHER', 'RNA-Seq']","['other', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['polyA RNA', 'protein', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['polyA RNA', 'protein']"
[],"['OTHER', 'RNA-Seq']","['polyA RNA', 'total RNA']"
[],"['OTHER', 'RNA-Seq']","['protein', 'total RNA']"
[],"['OTHER', 'RNA-Seq']",polyA RNA
[],"['OTHER', 'RNA-Seq']",total RNA
