,SID,Source Name,Registry Identifier,CID
280,53787020,Comparative Toxicogenomics Database (CTD),C069541,5281025
281,53787021,Comparative Toxicogenomics Database (CTD),C497286,5388063
282,53787022,Comparative Toxicogenomics Database (CTD),D003023,6098
283,53787023,Comparative Toxicogenomics Database (CTD),C033148,37517
284,53787024,Comparative Toxicogenomics Database (CTD),C087203,37766
285,53787025,Comparative Toxicogenomics Database (CTD),D004394,9051
286,53787026,Comparative Toxicogenomics Database (CTD),C431126,5320954
287,53787027,Comparative Toxicogenomics Database (CTD),C046308,114986
288,53787028,Comparative Toxicogenomics Database (CTD),D016190,2568
289,53787029,Comparative Toxicogenomics Database (CTD),D004177,522325
290,53787030,Comparative Toxicogenomics Database (CTD),C005984,135415868
291,53787031,Comparative Toxicogenomics Database (CTD),C113043,121990
292,53787032,Comparative Toxicogenomics Database (CTD),C413684,10323
293,53787033,Comparative Toxicogenomics Database (CTD),C436944,107830
294,53787034,Comparative Toxicogenomics Database (CTD),C033541,2040
295,53787035,Comparative Toxicogenomics Database (CTD),D009761,
296,53787036,Comparative Toxicogenomics Database (CTD),C018945,35802
297,53787037,Comparative Toxicogenomics Database (CTD),D017962,5280934
298,53787038,Comparative Toxicogenomics Database (CTD),D005682,23982
299,53787039,Comparative Toxicogenomics Database (CTD),C006757,7102
300,53787040,Comparative Toxicogenomics Database (CTD),C420218,10256708
301,53787041,Comparative Toxicogenomics Database (CTD),D017273,5311128
302,53787042,Comparative Toxicogenomics Database (CTD),D017257,5362129
303,53787043,Comparative Toxicogenomics Database (CTD),C077207,66282
304,53787044,Comparative Toxicogenomics Database (CTD),C053001,60172
305,53787045,Comparative Toxicogenomics Database (CTD),D011092,174
306,53787046,Comparative Toxicogenomics Database (CTD),C011585,38911
307,53787047,Comparative Toxicogenomics Database (CTD),C035982,24589
308,53787048,Comparative Toxicogenomics Database (CTD),C517552,
309,53787049,Comparative Toxicogenomics Database (CTD),D005363,6199
