name,count
genetic testing,285
cerebral palsy,285
autoimmune disorder,285
mutational subclass,285
study group,285
gastrointestinal disorder,285
psychiatric disorder,285
medications/vitamin names,284
allergies,284
covid-19-related medication and anti-microbials,284
unpublished,284
diet,284
sars-cov-2,284
tcr single cell sequencing,284
single cell sequencing platform_id,284
covid-19 severity,284
city,284
datasets,284
bcr single cell sequencing,284
diabetes,283
virus strain,283
lung disease,283
chronic diseases,282
volume,282
molecular.diagnosis,280
gcb.abc.signature,280
stimulant,280
drug,278
age at baseline visit,277
library preparation,277
geographical location,277
aoi,277
codeos,275
ezh2,275
vaccination.assignment,275
description of day,275
protectionstatus,275
codeffs,275
subject number,272
primary.tumor,271
tissue.type,271
irf4.prediction,271
used for analysis,271
irf4.status,271
training.test,271
irf4.probability,271
tumor_name,270
gene-level raw fpkm profile  file_download_link,270
differentiation day,270
block_name,270
specimen_name,270
rna_well_id,270
structure acronym,270
euthanized_due_to_pulmonary_tb,268
day_of_euthanasia,268
h3f3a status,268
percent_weight_loss,268
centre,268
lung_mtb_burden,268
hc coded,267
radiation administered prior to tumor resection,267
hc,267
chemotx administered prior to tumor resection,267
temodar administered prior to tumor resection,267
set,267
genome/variation,266
immunization,265
sample_set,265
visit day,265
pmi,265
condition/tp dx,264
tumour type,263
induration_mm,262
biopsy,260
read length,259
donor_id_blinded,258
experimental group,256
regimen,256
chemo before tp,256
per cd16pos cd3neg,255
per cd20,255
normalizedsmokinghistoryinpackyears,254
diseasestaging,254
cns subregion,253
per cd3stained,253
histological diagnosis,253
per cd8,252
transfected with,252
align_input,251
library_prep_date,251
intronic_reads,251
nuclear_reads,251
intergenic_reads,251
extract_date,251
tb,251
mtrna_reads,251
passqc,251
rrna_reads,251
reads_all,251
bfcohort,251
tb_binary,251
reads_trimmed_filtered,251
micro_ref_stndrd,251
align_unique,251
align_multi,251
align_tooshort,251
exon_ratio,251
duplication_rate,251
intron_exon_ratio,251
bias53,251
exonic_reads,251
sample_group_granular,251
rrna_fraction,251
ftcount,251
lunit_score,251
qxr_score,251
cad4tb_score,251
semiquant,250
number of malaria infections,250
volunteer code,250
diseas state,248
treatment dose,248
molecular classification,248
who.classification.2021,245
surgical_interval_mo,245
codel_status,245
age_diagnosis_years,245
recurrent_status,245
idh_status,245
tcga.subtype,245
heidelberg_meth_subtype,245
tumor localization,243
repeat,243
monocytes,242
age of onset,240
rna-sample type,240
donor type,240
basename,240
paired samples,239
season,238
samplename,238
original geo accession,238
sars-cov2_rpm,237
other information,236
sorting strategy,234
escape,233
covid-19,233
ca19-9,232
karnofsky index,232
treatment arm,232
intrinsic subtype,231
plts,231
diffuse,231
patient.code,231
fvc at baseline visit,231
1p/19q status,228
dx,228
hist.score,228
pcv,227
blood collection tube coating,227
genetic modification,227
dysplasia now,226
Tumor stage,226
sample_type,226
broad diagnosis,226
tumor category,226
behavior at diagnosis,226
dys broad location,226
TimeUnit,225
serostatus,224
bcg vaccinated,224
sorter day,224
lymphgen_class_myc_pmid_32187361,222
pid_pmid_32187361,222
hmrn_class_aic_pmid_32187361,222
modified_hmrn_class_pmid_32187361,222
lymphgen_class_pmid_32187361,222
disease activity,221
subject condition,221
tissue subtype,220
coriell cell line repository identifier,220
facs purification,219
section,219
codon129 genotype,219
mrc scale,219
treatment withdrawal,217
animalid,217
treatment initiation,217
cdkn2a,216
feeding,215
cd4 count,215
library protocol,215
state,214
transgene,213
health state,213
subject diagnosis,213
active ingredient,212
bal sampling date,212
prescription drugs,212
mtb challenged,212
recreational drugs,212
cigarette smoker,212
sexually transmitted infections,212
art start year,212
medical.history,212
quantiferon tb reagent,212
sample day,212
baseline hiv_rna,211
tissue region,211
baseline cd4,211
treatment-outcome code,211
timing,211
processing,210
