2022-06-14 22:54:49,821 INFO:Started save_new_articles. Mindate: 2018/06/23  Maxdate: 2022/06/14
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,568 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,584 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,599 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,599 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,603 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,603 DEBUG:[#ED7B]  S: RECORD * 1
2022-06-14 22:54:51,603 DEBUG:[#ED7B]  S: RECORD * 1
